year,HSC_record_of_achievement_all_students,HSC_record_of_achievement_aboriginal_students,HSC_award_all_students,HSC_award_aboriginal_students
2004,38883,573,36660,528
2005,38175,626,35917,574
2006,37739,646,35460,603
2007,38275,736,35854,674
2008,38815,824,36468,755
2009,39164,906,36465,815
2010,41347,991,38181,862
2011,41987,1082,38661,919
2012,42452,1242,38774,1061
2013,43694,1381,38908,1150
2014,44511,1386,39340,1139
2015,45000,1366,39312,1097
2016,44029,1509,38589,1241
2017,44319,1508,38774,1222
