course_name,units,year_11_male,year_11_female,year_11_total,year_12 _male,year_12 _female,year_12 _total
Aboriginal Studies,2,184,433,617,95,241,336
Aboriginal Studies Life Skills,2,26,6,32,6,9,15
Aged Care Specialisation Study,1,,,,,1,1
Agriculture,2,736,722,1458,487,504,991
Agriculture Life Skills,2,37,11,48,18,12,30
Ancient History,2,4004,5221,9225,2800,4174,6974
Arabic Beginners,2,,,,2,1,3
Arabic Continuers,2,72,103,175,47,80,127
Arabic Extension,1,,,,11,23,34
Armenian Continuers,2,2,1,3,,3,3
Automotive,2,58,1,59,2,,2
Automotive,4,1,,1,,,
Automotive Examination,2,,,,3,,3
Automotive Specialisation Study,1,2,,2,,,
Biology,2,5147,8099,13246,3589,6085,9674
Business and Economics Life Skills,2,15,8,23,18,3,21
Business Services,2,386,1125,1511,335,924,1259
Business Services,4,,1,1,32,17,49
Business Services Examination,2,,,,218,631,849
Business Services Specialisation Study,2,,,,,1,1
Business Services Specialisation Study,3,,,,1,,1
Business Studies,2,5577,5682,11259,4073,4183,8256
Chemistry,2,5229,4493,9722,3558,2952,6510
Chinese Background Speakers,2,312,353,665,221,292,513
Chinese Beginners,2,20,30,50,14,16,30
Chinese Continuers,2,16,20,36,12,11,23
Chinese Extension,1,,,,,4,4
Citizenship and Legal Studies Life Skills,2,78,38,116,66,39,105
Classical Greek Continuers,2,,,,1,,1
Classical Greek Extension,1,,,,1,,1
Community and Family Studies,2,511,6086,6597,298,4339,4637
Community Pharmacy Specialisation Study,1,,1,1,,,
Community Pharmacy Specialisation Study,2,1,,1,,,
Construction,2,3189,93,3282,2014,41,2055
Construction,4,99,3,102,62,2,64
Construction Examination,2,,,,1417,35,1452
Creative Arts Life Skills,2,368,182,550,224,140,364
Croatian Continuers,2,3,1,4,1,2,3
Dance,2,75,871,946,35,597,632
Dance Life Skills,2,4,11,15,2,7,9
Design and Technology,2,1382,832,2214,819,519,1338
Design and Technology Life Skills,2,50,8,58,21,15,36
Drama,2,1076,2330,3406,679,1628,2307
Drama Life Skills,2,28,21,49,11,9,20
Dutch Continuers,2,1,,1,1,1,2
Earth and Environmental Science,2,720,606,1326,412,400,812
Economics,2,2121,1381,3502,1559,1058,2617
Electrotechnology,2,19,,19,1,,1
Engineering Studies,2,2245,167,2412,1477,64,1541
English (Advanced),2,6508,9532,16040,5297,8132,13429
English (Standard),2,10848,10326,21174,9497,9584,19081
English as a Second Language,2,1057,1097,2154,958,936,1894
English Extension,1,1597,2564,4161,,,
English Extension 1,1,,,,702,1739,2441
English Extension 2,1,,,,233,726,959
English Life Skills,2,1087,491,1578,736,450,1186
Entertainment Industry,2,462,529,991,338,382,720
Entertainment Industry,4,,,,2,,2
Entertainment Industry Examination,2,,,,292,331,623
Filipino Continuers,2,2,9,11,5,21,26
Financial Services,2,7,6,13,1,4,5
Financial Services Examination,2,,,,1,3,4
Food Technology ,2,1016,2386,3402,744,1710,2454
Food Technology Life Skills,2,180,93,273,78,69,147
French Beginners,2,154,667,821,82,394,476
French Continuers,2,82,332,414,54,241,295
French Extension,1,,,,9,37,46
Fundamentals of English,2,173,145,318,,,
Fundamentals of English (Part 1),1,295,382,677,,,
Fundamentals of English (Part 2),1,37,30,67,,,
General Mathematics,2,241,200,441,9149,9642,18791
Geography,2,1418,1129,2547,998,839,1837
