course_name,units,year_11_male,year_11_female,year_11_total,year_12 _male,year_12 _female,year_12 _total
Aboriginal Studies,2,240,460,700,118,239,357
Aboriginal Studies Life Skills,2,7,10,17,6,3,9
Aged Care Specialisation Study,1,,,,,6,6
Agriculture,2,667,738,1405,457,471,928
Agriculture Life Skills,2,38,15,53,33,21,54
Ancient History,2,3682,4666,8348,2674,3834,6508
Arabic Beginners,2,,3,3,,,
Arabic Continuers,2,74,107,181,47,86,133
Arabic Extension,1,,,,13,23,36
Armenian Continuers,2,,2,2,,2,2
Automotive,2,30,4,34,14,1,15
Automotive,4,2,,2,2,,2
Automotive Examination (Mechanical Technology),2,,,,2,1,3
Automotive Specialisation Study,1,1,,1,,,
Biology,2,5292,8405,13697,3628,6162,9790
Business and Economics Life Skills,2,15,21,36,12,16,28
Business Services,2,366,909,1275,247,699,946
Business Services,4,16,20,36,19,41,60
Business Services Examination,2,,,,196,518,714
Business Services Specialisation Study,1,,1,1,,,
Business Studies,2,6007,5825,11832,4294,4273,8567
Chemistry,2,5111,4181,9292,3581,2882,6463
Chinese Background Speakers,2,327,405,732,216,310,526
Chinese Beginners,2,14,38,52,6,15,21
Chinese Continuers,2,11,25,36,11,24,35
Chinese Extension,1,,,,4,1,5
Citizenship and Legal Studies Life Skills,2,40,25,65,49,29,78
Classical Greek Continuers,2,3,1,4,,,
Community and Family Studies,2,670,6245,6915,375,4579,4954
Community and Family Studies Life Skills,2,60,87,147,23,87,110
Community Pharmacy Specialisation Study,2,,2,2,,1,1
Construction,2,3153,132,3285,1929,53,1982
Construction,4,74,3,77,44,8,52
Construction Examination,2,,,,1363,35,1398
Construction School-based Apprenticeship,2,1,,1,1,,1
Construction School-based Apprenticeship,4,1,,1,,,
Construction School-based Apprenticeship Specialisation,2,,,,1,,1
Creative Arts Life Skills,2,301,141,442,233,134,367
Croatian Continuers,2,1,1,2,1,3,4
Dance,2,54,814,868,28,614,642
Dance Life Skills,2,5,13,18,3,7,10
Design and Technology,2,1458,751,2209,920,509,1429
Design and Technology Life Skills,2,48,7,55,22,10,32
Drama,2,1104,2165,3269,728,1729,2457
Drama Life Skills,2,25,18,43,18,26,44
Earth and Environmental Science,2,774,627,1401,495,333,828
Economics,2,2199,1356,3555,1530,954,2484
Electrotechnology,2,11,,11,2,,2
Electrotechnology Examination,2,,,,2,,2
Engineering Studies,2,2139,148,2287,1419,86,1505
English (Advanced),2,6251,9126,15377,4975,7703,12678
English (Standard),2,10735,10292,21027,9354,9321,18675
English as a Second Language,2,1172,1173,2345,941,954,1895
English Extension,1,1380,2322,3702,,,
English Extension 1,1,,,,617,1619,2236
English Extension 2,1,,,,200,640,840
English Life Skills,2,1083,485,1568,793,492,1285
Entertainment Industry,2,457,533,990,334,432,766
Entertainment Industry,4,,,,1,,1
Entertainment Industry Examination,2,,,,255,370,625
Filipino Continuers,2,5,2,7,3,7,10
Financial Services,2,2,2,4,,1,1
Financial Services Examination,2,,,,,1,1
Food Technology,2,1027,2214,3241,619,1630,2249
Food Technology Life Skills,2,288,137,425,161,120,281
French Beginners,2,174,607,781,83,367,450
French Continuers,2,100,267,367,50,172,222
French Extension,1,,,,5,45,50
Fundamentals of English,2,259,248,507,,,
Fundamentals of English (Part 1),1,327,343,670,,,
Fundamentals of English (Part 2),1,5,21,26,,,
Geography,2,1534,1192,2726,1042,824,1866
Geography Life Skills,2,101,35,136,44,18,62
German Beginners,2,47,68,115,25,50,75
German Continuers,2,71,108,179,54,57,111
German Extension,1,,,,6,14,20
Heritage Chinese (Mandarin),2,24,68,92,14,78,92
Heritage Indonesian,2,1,6,7,1,1,2
Heritage Japanese,2,14,17,31,4,10,14
Heritage Korean,2,19,49,68,21,40,61
Hindi Continuers,2,6,7,13,4,13,17
History Extension,1,,,,230,528,758
History Life Skills,2,123,51,174,79,29,108
Hospitality,2,2229,4803,7032,1403,3481,4884
